324.497	4419
325.099	4362
325.701	4373
326.303	4359
326.905	4318
327.507	4201
328.109	4200
328.711	4164
329.313	4342
329.915	4195
330.517	4222
331.118	4198
331.72	4266
332.321	4081
332.923	4122
333.524	4077
334.126	4046
334.727	4008
335.328	4088
335.93	4071
336.531	4019
337.132	3938
337.733	3962
338.334	3952
338.935	3974
339.536	3854
340.137	3921
340.738	3925
341.338	3877
341.939	3859
342.54	3924
343.14	3822
343.741	3842
344.341	3911
344.941	3940
345.542	3919
346.142	3828
346.742	3877
347.342	3759
347.943	3922
348.543	3784
349.143	3820
349.742	3671
350.342	3689
350.942	3718
351.542	3750
352.142	3620
352.741	3680
353.341	3706
353.94	3715
354.54	3776
355.139	3557
355.739	3621
356.338	3593
356.937	3570
357.537	3559
358.136	3572
358.735	3676
359.334	3595
359.933	3534
360.532	3622
361.131	3686
361.729	3642
362.328	3498
362.927	3538
363.526	3462
364.124	3486
364.723	3588
365.321	3473
365.92	3527
366.518	3398
367.116	3543
367.715	3536
368.313	3496
368.911	3500
369.509	3381
370.107	3461
370.705	3481
371.303	3466
371.901	3333
372.499	3471
373.096	3407
373.694	3388
374.292	3364
374.889	3411
375.487	3357
376.084	3307
376.682	3250
377.279	3309
377.876	3332
378.474	3282
379.071	3270
379.668	3315
380.265	3249
380.862	3271
381.459	3278
382.056	3262
382.653	3217
383.249	3160
383.846	3209
384.443	3065
385.04	3184
385.636	3167
386.233	3202
386.829	3192
387.425	3183
388.022	3158
388.618	3204
389.214	3142
389.811	3146
390.407	3045
391.003	3158
391.599	3157
392.195	3089
392.791	3098
393.386	3105
393.982	3025
394.578	3077
395.174	3109
395.769	3083
396.365	2975
396.96	2956
397.556	3037
398.151	2976
398.747	3000
399.342	3005
399.937	3080
400.532	3138
401.127	2914
401.723	2954
402.318	2943
402.912	2999
403.507	3010
404.102	2994
404.697	2900
405.292	3037
405.886	2885
406.481	3061
407.076	2929
407.67	2964
408.265	2945
408.859	2863
409.453	2995
410.048	2976
410.642	2919
411.236	2872
411.83	2973
412.424	2855
413.018	2935
413.612	2829
414.206	2918
414.8	2871
415.394	2848
415.987	3011
416.581	2831
417.175	2810
417.768	2877
418.362	2788
418.955	2845
419.549	2817
420.142	2848
420.735	2801
421.328	2847
421.922	2792
422.515	2906
423.108	2843
423.701	2774
424.294	2845
424.887	2727
425.479	2888
426.072	2782
426.665	2687
427.258	2715
427.85	2735
428.443	2655
429.035	2574
429.628	2645
430.22	2647
430.813	2640
431.405	2646
431.997	2649
432.589	2655
433.181	2556
433.773	2744
434.365	2618
434.957	2614
435.549	2574
436.141	2639
436.733	2690
437.325	2548
437.916	2556
438.508	2530
439.099	2619
439.691	2588
440.282	2563
440.874	2564
441.465	2609
442.056	2551
442.648	2606
443.239	2545
443.83	2587
444.421	2583
445.012	2630
445.603	2528
446.194	2506
446.785	2526
447.375	2472
447.966	2451
448.557	2509
449.147	2561
449.738	2589
450.328	2470
450.919	2478
451.509	2551
452.1	2508
452.69	2483
453.28	2535
453.87	2417
454.46	2485
455.051	2473
455.641	2446
456.23	2439
456.82	2388
457.41	2419
458	2498
458.59	2498
459.179	2505
459.769	2380
460.359	2491
460.948	2465
461.538	2445
462.127	2423
462.716	2402
463.306	2437
463.895	2395
464.484	2382
465.073	2470
465.662	2380
466.251	2381
466.84	2451
467.429	2374
468.018	2411
468.607	2464
469.195	2441
469.784	2327
470.373	2454
470.961	2489
471.55	2416
472.138	2401
472.727	2468
473.315	2318
473.903	2399
474.491	2494
475.08	2369
475.668	2435
476.256	2447
476.844	2475
477.432	2296
478.02	2366
478.608	2428
479.195	2363
479.783	2332
480.371	2373
480.958	2353
481.546	2359
482.133	2321
482.721	2416
483.308	2314
483.896	2393
484.483	2381
485.07	2343
485.657	2346
486.245	2287
486.832	2321
487.419	2407
488.006	2280
488.592	2253
489.179	2301
489.766	2236
490.353	2312
490.94	2231
491.526	2292
492.113	2280
492.699	2199
493.286	2260
493.872	2285
494.459	2260
495.045	2271
495.631	2288
496.217	2306
496.803	2307
497.389	2240
497.976	2323
498.561	2305
499.147	2275
499.733	2233
500.319	2278
500.905	2250
501.49	2228
502.076	2245
502.662	2258
503.247	2208
503.833	2191
504.418	2140
505.004	2181
505.589	2186
506.174	2238
506.759	2164
507.344	2098
507.929	2122
508.515	2149
509.1	2130
509.684	2186
510.269	2167
510.854	2154
511.439	2125
512.024	2141
512.608	2120
513.193	2098
513.777	2185
514.362	2164
514.946	2105
515.531	2099
516.115	2105
516.699	2163
517.283	2065
517.868	2117
518.452	2145
519.036	2122
519.62	2115
520.204	2145
520.788	2168
521.371	2131
521.955	2210
522.539	2203
523.122	2258
523.706	2271
524.29	2408
524.873	2436
525.457	2698
526.04	2830
526.623	2934
527.207	3163
527.79	3265
528.373	3419
528.956	3586
529.539	3455
530.122	3608
530.705	3567
531.288	3436
531.871	3451
532.454	3512
533.036	3208
533.619	2959
534.202	2968
534.784	2632
535.367	2574
535.949	2415
536.531	2210
537.114	2189
537.696	2106
538.278	1981
538.861	2076
539.443	1955
540.025	2024
540.607	2032
541.189	1977
541.771	1995
542.352	1905
542.934	1962
543.516	1933
544.098	1888
544.679	1924
545.261	1923
545.842	1921
546.424	1924
547.005	1952
547.587	1817
548.168	1822
548.749	1868
549.33	1875
549.911	1897
550.493	1942
551.074	1885
551.655	1874
552.235	1831
552.816	1861
553.397	1849
553.978	1831
554.559	1875
555.139	1834
555.72	1853
556.3	1819
556.881	1856
557.461	1869
558.042	1839
558.622	1770
559.202	1863
559.782	1913
560.362	1730
