Theta	FWHM	angleerror	FWHMerror									
80	2.1211	2	0.0341									
90	2.1462	2	0.1567									
100	2.2167	2	0.1906									
110	2.2602	2	0.0202									
120	2.2313	2	0.2312									
130	2.1756	2	0.164									
140	2.1729	2	0.0857									
150	2.2191	2	0.2042									
160	2.2564	2	0.0801									
170	2.2343	2	0.1112									
190	2.1356	2	0.0208									
200	2.1298	2	0.1101									
												
												
												
												
												
												
	LORE											
angle	g 											
												
10	2.1748											
20	2.1325											
30	2.1186											
40	2.1305											
50	2.1477											
60	2.1503											
70	2.143											
80	2.1315											
90	2.1573											
100	2.2143											
110	2.2501											
120	2.2332											
130	2.1936											
140	2.1883											
150	2.2227											
160	2.2491											
170	2.2282											
190	2.1465											
200	2.1348											
												
												
												
												
	gaussian											
												
angle	g 											
												
10	2.1753											
20	2.1256											
30	2.113											
40	2.1297											
50	2.1514											
60	2.1571											
70	2.1407											
80	2.1211											
90	2.1462											
100	2.2167											
110	2.2602											
120	2.2313											
130	2.1756											
140	2.1729											
150	2.2191											
160	2.2564											
170	2.2343											
190	2.1356											
200	2.1298											
												
												
												
angle	alfa lor											
												
10	3130.18	2	1.75917									
20	3147.49	2	1.20082									
30	3163.38	2	1.10821									
40	3173.06	2	1.07844									
50	3173.66	2	0.93344									
60	3165.87	2	1.00049									
70	3151.03	2	1.26485									
80	3132.56	2	1.42136									
90	3106.92	2	1.63789									
100	3085.05	2	2.35891									
110	3064.18	2	3.17043									
120	3050.97	2	3.05623									
130	3042.39	2	3.44441									
140	3040.09	2	3.41012									
150	3044.3	2	2.62087									
160	3053.37	2	2.98544									
170	3073.54	2	2.10352									
190	3110.72	2	1.28404									
200	3150.41	2	1.00145									
												
												
												
												
												
angle	alfa gaus											
												
10	3136.71	2	1.89125									
20	3150.68	2	1.29804									
30	3164.5	2	1.14554									
40	3173.66	2	1.06926									
50	3174.43	2	0.93881									
60	3166.97	2	1.01893									
70	3152.96	2	1.38662									
80	3135.91	2	1.65756									
90	3112.71	2	1.92805									
100	3092.49	2	2.49116									
110	3075.31	2	3.63152									
120	3063.43	2	3.5061									
130	3052.4	2	3.87814									
140	3046.01	2	3.64186									
150	3049.9	2	2.89055									
160	3058.46	2	3.19389									
170	3075.74	2	2.15847									
190	3113.47	2	1.57444									
200	3152.85	2	1.08098									
												
												
												
												
	LORENTZ											
angle												
	g											
10	2.2232	2	0.0349									
20	2.211	2	0.0287									
30	2.1999	2	0.0275									
40	2.1932	2	0.027									
50	2.1927	2	0.0251									
60	2.1981	2	0.0261									
70	2.2085	2	0.0294									
80	2.2215	2	0.0314									
90	2.2398	2	0.034									
100	2.2557	2	0.041									
110	2.2711	2	0.0479									
120	2.2809	2	0.0472									
130	2.2873	2	0.0502									
140	2.2891	2	0.05									
150	2.2859	2	0.0438									
160	2.2791	2	0.0466									
170	2.2642	2	0.0389									
190	2.2371	2	0.0301									
200	2.2089	2	0.0262									
												
												
												
												
												
												
												
												
												
												
												
												
												
	GAUSSian											
angle	g											
												
10	2.2186	2	0.0361									
20	2.2087	2	0.0298									
30	2.1991	2	0.0279									
